name,annot
Ricaniidae,Insect pests
Ricinidae,Ectoparasites of birds
Riodinidae,Pollinators
Ripiphoridae,Hypermetamorphic parasitoids
Roeslerstammiidae,General
Saldidae,General
Salpingidae,General
Sarcophagidae,General
Saturniidae,General
Scarabaeidae,General
Scatopsidae,General
Scelionidae,Parasitoids
Scenopinidae,General
Schizopteridae,General
Sciaridae,General
Sciomyzidae,Predators
Scirtidae,General
Scolebythidae,Parasitoids
Scoliidae,Pollinators
Scraptiidae,Pollinators
Scutelleridae,Includes pests
Scythrididae,Includes pests
Sepsidae,General
Sesiidae,Pollinators
Sialidae,Predators
Signiphoridae,Parasitoids
Silphidae,General
Silvanidae,General
Simuliidae,Water quality indicator
Siricidae,General
Sisyridae,Predators
Sphaeriusidae,Predators
Sphaeroceridae,General
Sphecidae,Pollinators
Sphindidae,General
Sphingidae,Pollinators
Spongiphoridae,General
Staphylinidae,Predators
Stenocephalidae,General
Stenopsocidae,General
Stenopsychidae,Water quality indicator
Stephanidae,Parasitoids
Stephanocircidae,Ectoparasites of rodents
Streblidae,Ectoparasites of bats
Strongylophthalmyiidae,General
Stylopidae,Parasitoids
Synlestidae,Predators
Synthemistidae,Predators
Syrphidae,Pollinators
Tabanidae,Includes pests
Tachinidae,General
Tanaostigmatidae,Parasitoids
Tanyderidae,Water quality indicator
Tasimiidae,Water quality indicator
Tenebrionidae,General
Tenthredinidae,General
Tephritidae,Includes pests
Termitidae,Includes pests
Termopsidae,Includes pests
Tessaratomidae,General
Tetracampidae,Parasitoids
Tetrigidae,General
Tettigarctidae,General
Tettigoniidae,General
Thaumaleidae,General
Thaumastocoridae,General
Therevidae,Predators
Thripidae,Includes pests
Throscidae,General
Thyrididae,General
Tineidae,General
Tineodidae,General
Tingidae,Includes pests
Tiphiidae,Parasitoids
Tipulidae,Predators
Tortricidae,Includes pests
Torymidae,Parasitoids
Trichoceridae,General
Trichodectidae,Ectoparasites of mammals
Trichogrammatidae,Parasitoids
Trichopsocidae,General
Tridactylidae,General
Trigonalidae,General
Trigonidiidae,General
Triozidae,Include pests
Trogidae,General
Trogiidae,General
Trogossitidae,General
Tropiduchidae,General
Tryonicidae,General
Ulidiidae,General
Uraniidae,Pollinators
Veliidae,Predators
Vespidae,General
Xiphydriidae,General
Yponomeutidae,Includes pests
Zopheridae,General
Zorotypidae,General
Zygaenidae,Pollinators
