	Run	Project	Time	Bande	sex	mere	Weaned
SF1015	3	Kinetic	D70	1105	2	17MAG101965	FALSE
SF1035	3	Kinetic	D70	1105	1	17MAG102029	FALSE
SF1835	3	Kinetic	D70	1106	1	17MAG082150	FALSE
SF1865	3	Kinetic	D70	1106	2	17MAG082210	FALSE
SF1875	3	Kinetic	D70	1106	1	17MAG085889	FALSE
SF1915	3	Kinetic	D70	1106	1	17MAG103303	FALSE
SF1935	3	Kinetic	D70	1106	2	17MAG103313	FALSE
SF2645	3	Kinetic	D70	1110	1	17MAG094915	FALSE
SF2675	3	Kinetic	D70	1110	1	17MAG095009	FALSE
SF2725	3	Kinetic	D70	1110	2	17MAG103324	FALSE
SF2745	3	Kinetic	D70	1110	2	17MAG103300	FALSE
SF2755	3	Kinetic	D70	1110	2	17MAG103609	FALSE
SF2805	3	Kinetic	D70	1111	2	17MAG103836	FALSE
SF2825	3	Kinetic	D70	1111	2	17MAG103881	FALSE
SF2885	3	Kinetic	D70	1111	1	17MAG103898	FALSE
SF2925	3	Kinetic	D70	1111	2	17MAG104167	FALSE
SF2945	3	Kinetic	D70	1111	1	17MAG104190	FALSE
SF4485	3	Kinetic	D70	1112	1	17MAG104203	FALSE
SF4495	3	Kinetic	D70	1112	1	17MAG104634	FALSE
SF4525	3	Kinetic	D70	1112	2	17MAG105122	FALSE
SF4545	3	Kinetic	D70	1112	2	17MAG104818	FALSE
SF4585	3	Kinetic	D70	1112	1	17MAG105040	FALSE
SF5185	3	Kinetic	D70	1113	1	17MAG105121	FALSE
SF5205	3	Kinetic	D70	1113	1	17MAG104194	FALSE
SF5235	3	Kinetic	D70	1113	1	17MAG095083	FALSE
SF5265	3	Kinetic	D70	1113	2	17MAG103303	FALSE
SF5275	3	Kinetic	D70	1113	2	17MAG103313	FALSE
SF5305	3	Kinetic	D70	1113	2	17MAG105042	FALSE
